academic_year,0809,https://dax.accs.edu/Reports/Public/Salary Schedules 0809.pdf,,,,,,,,,,,,,,,,,,
institution,Alabama Community and Technical Colleges,,,,,,,,,,,,,,,,,,,
schedule,A,Presidents,,,,,,,,,,,,,,,,,,
steps,13,,,00,01,02,03,04,05,06,08,10,15,20,25,27,,,,
,,,,"119,062","120,983","122,903","124,824","126,745","128,665","130,586","132,507","134,427","140,189","145,951","151,713","153,634",,,,
schedule,B,Deans,,,,,,,,,,,,,,,,,,
,,,,"82,494","84,240","85,986","87,733","89,479","91,225","92,971","94,717","96,464","101,702","106,941","112,180","113,926",,,,
schedule,C1,Professional Personnel,,,,,,,,,,,,,,,,,,
,,,,"72,356","74,102","75,848","77,594","79,341","81,087","82,833","84,579","86,325","91,564","96,803","102,042","103,788",,,,
schedule,C2,Professional Personnel,,,,,,,,,,,,,,,,,,
,,,,"63,431","65,177","66,923","68,669","70,416","72,162","73,908","75,654","77,401","82,639","87,878","93,117","94,863",,,,
schedule,C3,Professional Personnel,,,,,,,,,,,,,,,,,,
steps,1,,,,,,,,,,,,,,,,,,,
,,,,"80,663",,,,,,,,,,,,,,,,
steps,13,,,00,01,02,03,04,05,06,08,10,15,20,25,27,,,,
schedule,D1,"Full-time Instructors, Counselors and Librarians",,,,,,,,,,,,,,,,,,
04,,,9-Month,"50,437","51,771","53,105","54,439","55,774","57,108","58,442","59,777","61,111","65,114","69,117","73,120","74,454",,,,
04,,,Summer,"15,573","15,987","16,401","16,815","17,229","17,643","18,057","18,471","18,886","20,128","21,370","22,612","23,026",,,,
04,,,12-Month,"66,009","67,758","69,506","71,255","73,003","74,751","76,500","78,248","79,996","85,242","90,487","95,732","97,480",,,,
03,,,9-Month,"45,404","46,739","48,073","49,407","50,742","52,076","53,410","54,744","56,079","59,548","63,017","66,487","67,821",,,,
03,,,Summer,"14,016","14,430","14,844","15,258","15,672","16,086","16,500","16,915","17,329","18,405","19,481","20,559","20,973",,,,
03,,,12-Month,"59,420","61,169","62,917","64,665","66,414","68,162","69,911","71,659","73,407","77,953","82,498","87,046","88,794",,,,
02,,,9-Month,"41,741","43,075","44,409","45,744","47,078","48,412","49,746","51,081","52,415","55,084","57,752","60,421","61,755",,,,
02,,,Summer,"12,885","13,299","13,713","14,127","14,541","14,955","15,369","15,784","16,198","17,026","17,854","18,682","19,096",,,,
02,,,12-Month,"54,626","56,374","58,122","59,871","61,619","63,368","65,116","66,864","68,613","72,109","75,606","79,103","80,851",,,,
1A,,,9-Month,"38,077","39,411","40,746","42,080","43,414","44,748","46,083","47,417","48,751","51,420","54,089","56,757","58,091",,,,
1A,,,Summer,"11,756","12,170","12,584","12,998","13,412","13,827","14,241","14,655","15,069","15,897","16,725","17,553","17,967",,,,
1A,,,12-Month,"49,833","51,581","53,330","55,078","56,827","58,575","60,323","62,072","63,820","67,317","70,814","74,310","76,059",,,,
1B,,,9-Month,"34,414","35,749","37,083","38,417","39,752","41,086","42,420","43,754","45,089","47,757","50,426","53,094","54,429",,,,
1B,,,Summer,"10,626","11,040","11,454","11,868","12,283","12,697","13,111","13,525","13,939","14,767","15,595","16,423","16,838",,,,
1B,,,12-Month,"45,041","46,789","48,537","50,286","52,034","53,782","55,531","57,279","59,028","62,524","66,021","69,518","71,266",,,,
1C,,,9-Month,"34,414","35,749","37,083","38,417","39,752","41,086","42,420","43,754","45,089","47,757","50,426","53,094","54,429",,,,
1C,,,Summer,"10,626","11,040","11,454","11,868","12,283","12,697","13,111","13,525","13,939","14,767","15,595","16,423","16,838",,,,
1C,,,12-Month,"45,041","46,789","48,537","50,286","52,034","53,782","55,531","57,279","59,028","62,524","66,021","69,518","71,266",,,,
schedule,D2,"Full-time Instructors, Counselors and Librarians",,,,,,,,,,,,,,,,,,
04,,,9-Month,"47,554","48,811","50,069","51,326","52,583","53,840","55,098","56,355","57,612","61,384","65,156","68,927","70,185",,,,
04,,,Summer,"18,452","18,942","19,432","19,922","20,412","20,902","21,393","21,883","22,373","23,843","25,313","26,783","27,273",,,,
04,,,12-Month,"66,006","67,753","69,501","71,248","72,995","74,743","76,490","78,237","79,985","85,227","90,469","95,710","97,458",,,,
03,,,9-Month,"42,809","44,066","45,323","46,580","47,838","49,095","50,352","51,609","52,867","56,135","59,404","62,673","63,930",,,,
03,,,Summer,"16,611","17,101","17,591","18,081","18,571","19,061","19,551","20,041","20,531","21,806","23,080","24,353","24,843",,,,
03,,,12-Month,"59,419","61,167","62,914","64,661","66,408","68,156","69,903","71,650","73,398","77,941","82,484","87,026","88,774",,,,
02,,,9-Month,"39,357","40,614","41,871","43,128","44,386","45,643","46,900","48,157","49,415","51,929","54,444","56,958","58,215",,,,
02,,,Summer,"15,270","15,760","16,250","16,740","17,230","17,720","18,210","18,700","19,190","20,171","21,151","22,131","22,621",,,,
02,,,12-Month,"54,627","56,374","58,121","59,869","61,616","63,363","65,111","66,858","68,605","72,100","75,594","79,089","80,836",,,,
1A,,,9-Month,"35,903","37,160","38,417","39,675","40,932","42,189","43,446","44,704","45,961","48,475","50,990","53,504","54,762",,,,
1A,,,Summer,"13,931","14,421","14,912","15,402","15,892","16,382","16,872","17,362","17,852","18,832","19,812","20,792","21,282",,,,
1A,,,12-Month,"49,834","51,581","53,329","55,076","56,823","58,571","60,318","62,065","63,813","67,307","70,802","74,297","76,044",,,,
1B,,,9-Month,"32,448","33,705","34,962","36,220","37,477","38,734","39,991","41,249","42,506","45,020","47,535","50,049","51,307",,,,
1B,,,Summer,"12,592","13,082","13,572","14,062","14,552","15,042","15,532","16,022","16,512","17,492","18,472","19,453","19,943",,,,
1B,,,12-Month,"45,040","46,787","48,534","50,281","52,029","53,776","55,523","57,271","59,018","62,513","66,007","69,502","71,249",,,,
1C,,,9-Month,"32,448","33,705","34,962","36,220","37,477","38,734","39,991","41,249","42,506","45,020","47,535","50,049","51,307",,,,
1C,,,Summer,"12,592","13,082","13,572","14,062","14,552","15,042","15,532","16,022","16,512","17,492","18,472","19,453","19,943",,,,
